id_consumo,id_produto,consumo_medio,atualizado_em
00000000-0000-4000-9000-000000000001,00000000-0000-4000-8000-000000000001,3.6735,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000002,00000000-0000-4000-8000-000000000002,2.8571,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000003,00000000-0000-4000-8000-000000000003,3.2653,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000004,00000000-0000-4000-8000-000000000004,1.2245,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000005,00000000-0000-4000-8000-000000000005,1.8367,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000006,00000000-0000-4000-8000-000000000006,0.4082,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000007,00000000-0000-4000-8000-000000000007,1.0204,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000008,00000000-0000-4000-8000-000000000008,0.9184,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000009,00000000-0000-4000-8000-000000000009,4.4898,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000010,00000000-0000-4000-8000-000000000010,1.4286,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000011,00000000-0000-4000-8000-000000000011,1.4286,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000012,00000000-0000-4000-8000-000000000012,1.7347,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000013,00000000-0000-4000-8000-000000000013,1.2245,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000014,00000000-0000-4000-8000-000000000014,0.9184,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000015,00000000-0000-4000-8000-000000000015,0.7143,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000016,00000000-0000-4000-8000-000000000016,0.9184,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000017,00000000-0000-4000-8000-000000000017,0.5102,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000018,00000000-0000-4000-8000-000000000018,0.7143,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000019,00000000-0000-4000-8000-000000000019,0.5102,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000020,00000000-0000-4000-8000-000000000020,0.6122,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000021,00000000-0000-4000-8000-000000000021,0.8163,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000022,00000000-0000-4000-8000-000000000022,0.7143,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000023,00000000-0000-4000-8000-000000000023,0.5102,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000024,00000000-0000-4000-8000-000000000024,0.2449,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000025,00000000-0000-4000-8000-000000000025,0.3673,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000026,00000000-0000-4000-8000-000000000026,0.4082,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000027,00000000-0000-4000-8000-000000000027,0.1633,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000028,00000000-0000-4000-8000-000000000028,0.2041,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000029,00000000-0000-4000-8000-000000000029,0.9184,2026-05-25T17:00:00-03:00
00000000-0000-4000-9000-000000000030,00000000-0000-4000-8000-000000000030,0.7143,2026-05-25T17:00:00-03:00
